Title,Year, Budget , Revenue , Gross_Revenue ,Average_Vote
Scream,1996," 14,000,000 "," 173,046,663 "," 187,046,663 ",7
The Last of the Mohicans,1992," 40,000,000 "," 75,505,856 "," 115,505,856 ",7.1
Evita,1996," 55,000,000 "," 141,047,179 "," 196,047,179 ",5.9
Turbulence,1997," 55,000,000 "," 11,466,088 "," 66,466,088 ",5.2
Metro,1997," 55,000,000 "," 31,987,563 "," 86,987,563 ",5.3
Dante's Peak,1997," 116,000,000 "," 178,127,760 "," 294,127,760 ",5.8
Prefontaine,1997," 8,000,000 "," 589,304 "," 8,589,304 ",6.7
Absolute Power,1997," 50,000,000 "," 50,068,310 "," 100,068,310 ",6.4
Vegas Vacation,1997," 25,000,000 "," 36,400,360 "," 61,400,360 ",6
Lost Highway,1997," 15,000,000 "," 3,675,201 "," 18,675,201 ",7.5
Rosewood,1997," 30,000,000 "," 13,130,349 "," 43,130,349 ",6.7
Donnie Brasco,1997," 35,000,000 "," 41,954,997 "," 76,954,997 ",7.4
Kama Sutra - A Tale of Love,1996," 3,000,000 "," 4,109,095 "," 7,109,095 ",5.7
Private Parts,1997," 28,000,000 "," 41,230,799 "," 69,230,799 ",6.7
The Saint,1997," 68,000,000 "," 118,063,304 "," 186,063,304 ",5.9
Liar Liar,1997," 45,000,000 "," 302,710,615 "," 347,710,615 ",6.4
Selena,1997," 20,000,000 "," 60,000,000 "," 80,000,000 ",7.1
The Devil's Own,1997," 90,000,000 "," 140,807,547 "," 230,807,547 ",5.9
Cats Don't Dance,1997," 32,000,000 "," 3,566,637 "," 35,566,637 ",7.1
Turbo: A Power Rangers Movie,1997," 10,000,000 "," 17,979,739 "," 27,979,739 ",4.6
Anna Karenina,1997," 35,000,000 "," 791,830 "," 35,791,830 ",6.4
Anaconda,1997," 45,000,000 "," 136,885,767 "," 181,885,767 ",4.8
Austin Powers: International Man of Mystery,1997," 16,500,000 "," 67,683,989 "," 84,183,989 ",6.5
Breakdown,1997," 36,000,000 "," 50,159,144 "," 86,159,144 ",6.6
The Fifth Element,1997," 90,000,000 "," 263,920,180 "," 353,920,180 ",7.3
Love! Valour! Compassion!,1997," 2,000,000 "," 2,900,000 "," 4,900,000 ",5.7
The Lost World: Jurassic Park,1997," 73,000,000 "," 229,074,524 "," 302,074,524 ",6.2
Con Air,1997," 75,000,000 "," 224,012,234 "," 299,012,234 ",6.5
Speed 2: Cruise Control,1997," 160,000,000 "," 164,508,066 "," 324,508,066 ",4.1
Squeeze,1997," 500,000 "," 10,300 "," 510,300 ",6
Batman & Robin,1997," 125,000,000 "," 238,207,122 "," 363,207,122 ",4.2
Hercules,1997," 85,000,000 "," 252,712,101 "," 337,712,101 ",7.3
My Best Friend's Wedding,1997," 38,000,000 "," 299,288,605 "," 337,288,605 ",6.4
Face/Off,1997," 80,000,000 "," 245,676,146 "," 325,676,146 ",6.8
Men in Black,1997," 90,000,000 "," 589,390,539 "," 679,390,539 ",6.9
A Simple Wish,1997," 28,000,000 "," 8,345,056 "," 36,345,056 ",5.5
Contact,1997," 90,000,000 "," 171,120,329 "," 261,120,329 ",7.2
G.I. Jane,1997," 50,000,000 "," 48,169,156 "," 98,169,156 ",6
Cop Land,1997," 15,000,000 "," 44,862,187 "," 59,862,187 ",6.6
Event Horizon,1997," 60,000,000 "," 26,673,242 "," 86,673,242 ",6.4
Spawn,1997," 40,000,000 "," 87,840,042 "," 127,840,042 ",5
Air Bud,1997," 3,000,000 "," 23,144,499 "," 26,144,499 ",5.3
Picture Perfect,1997," 19,000,000 "," 44,332,015 "," 63,332,015 ",5.1
Conspiracy Theory,1997," 75,000,000 "," 136,982,834 "," 211,982,834 ",6.5
Steel,1997," 16,000,000 "," 1,686,429 "," 17,686,429 ",4.2
Mimic,1997," 30,000,000 "," 25,480,490 "," 55,480,490 ",5.7
Air Force One,1997," 85,000,000 "," 315,156,409 "," 400,156,409 ",6.2
One Eight Seven,1997," 20,000,000 "," 5,716,080 "," 25,716,080 ",6.5
The Hunt for Red October,1990," 30,000,000 "," 199,200,000 "," 229,200,000 ",7.2
L.A. Confidential,1997," 35,000,000 "," 126,216,940 "," 161,216,940 ",7.7
Seven Years in Tibet,1997," 70,000,000 "," 131,457,682 "," 201,457,682 ",7
Kiss the Girls,1997," 27,000,000 "," 60,527,873 "," 87,527,873 ",6.2
Wishmaster,1997," 5,000,000 "," 15,719,109 "," 20,719,109 ",5.6
The Game,1997," 50,000,000 "," 109,423,648 "," 159,423,648 ",7.5
Fire Down Below,1997," 60,000,000 "," 16,000,000 "," 76,000,000 ",5
U Turn,1997," 19,000,000 "," 6,682,098 "," 25,682,098 ",6.5
The Ice Storm,1997," 18,000,000 "," 8,038,061 "," 26,038,061 ",6.9
Chasing Amy,1997," 250,000 "," 12,021,272 "," 12,271,272 ",6.7
The Full Monty,1997," 3,500,000 "," 257,850,122 "," 261,350,122 ",6.9
I Know What You Did Last Summer,1997," 17,000,000 "," 125,586,134 "," 142,586,134 ",5.6
The Devil's Advocate,1997," 57,000,000 "," 152,944,660 "," 209,944,660 ",7.2
Playing God,1997," 12,000,000 "," 4,000,000 "," 16,000,000 ",5.6
The House of Yes,1997," 1,500,000 "," 626,057 "," 2,126,057 ",6.3
Gattaca,1997," 36,000,000 "," 12,532,777 "," 48,532,777 ",7.5
Switchback,1997," 37,000,000 "," 6,482,195 "," 43,482,195 ",5.8
Bean,1997," 18,000,000 "," 251,212,670 "," 269,212,670 ",6.3
Mad City,1997," 50,000,000 "," 10,541,523 "," 60,541,523 ",5.9
One Night Stand,1997," 24,000,000 "," 2,642,983 "," 26,642,983 ",5.7
The Rainmaker,1997," 40,000,000 "," 45,916,769 "," 85,916,769 ",6.7
Boogie Nights,1997," 15,000,000 "," 43,101,594 "," 58,101,594 ",7.5
Starship Troopers,1997," 105,000,000 "," 121,214,377 "," 226,214,377 ",6.7
The Joy Luck Club,1993," 11,000,000 "," 32,861,136 "," 43,861,136 ",7.1
Sliding Doors,1998," 6,000,000 "," 58,000,000 "," 64,000,000 ",6.6
Mortal Kombat: Annihilation,1997," 30,000,000 "," 51,376,861 "," 81,376,861 ",3.8
The Truman Show,1998," 60,000,000 "," 264,118,201 "," 324,118,201 ",7.8
The Jackal,1997," 60,000,000 "," 159,330,280 "," 219,330,280 ",6.1
Anastasia,1997," 53,000,000 "," 139,804,348 "," 192,804,348 ",7.4
The Man Who Knew Too Little,1997," 20,000,000 "," 13,801,755 "," 33,801,755 ",6.5
Alien: Resurrection,1997," 70,000,000 "," 162,000,000 "," 232,000,000 ",5.9
Amistad,1997," 36,000,000 "," 74,000,000 "," 110,000,000 ",6.8
Deconstructing Harry,1997," 20,000,000 "," 10,686,841 "," 30,686,841 ",7.3
Flubber,1997," 80,000,000 "," 177,977,226 "," 257,977,226 ",5.3
For Richer or Poorer,1997," 35,000,000 "," 31,611,225 "," 66,611,225 ",5.6
Good Will Hunting,1997," 10,000,000 "," 225,933,435 "," 235,933,435 ",7.9
Home Alone 3,1997," 32,000,000 "," 79,082,515 "," 111,082,515 ",5.1
Midnight in the Garden of Good and Evil,1997," 35,000,000 "," 25,105,255 "," 60,105,255 ",6.3
MouseHunt,1997," 38,000,000 "," 122,417,389 "," 160,417,389 ",6.2
Scream 2,1997," 24,000,000 "," 172,363,301 "," 196,363,301 ",6.1
The Sweet Hereafter,1997," 5,000,000 "," 3,263,585 "," 8,263,585 ",6.8
Titanic,1997," 200,000,000 "," 1,845,034,188 "," 2,045,034,188 ",7.5
Tomorrow Never Dies,1997," 110,000,000 "," 333,011,068 "," 443,011,068 ",6
The Postman,1997," 80,000,000 "," 17,626,234 "," 97,626,234 ",6.1
The Horse Whisperer,1998," 60,000,000 "," 186,883,563 "," 246,883,563 ",6.7
Jackie Brown,1997," 12,000,000 "," 39,673,162 "," 51,673,162 ",7.3
Kundun,1997," 28,000,000 "," 5,684,789 "," 33,684,789 ",6.8
The Big Lebowski,1998," 15,000,000 "," 46,189,568 "," 61,189,568 ",7.8
Great Expectations,1998," 25,000,000 "," 55,494,066 "," 80,494,066 ",6.4
Wag the Dog,1997," 15,000,000 "," 64,256,513 "," 79,256,513 ",6.7
Dark City,1998," 27,000,000 "," 27,200,316 "," 54,200,316 ",7.2
Hard Rain,1998," 70,000,000 "," 19,870,567 "," 89,870,567 ",5.5
Half Baked,1998," 8,000,000 "," 17,460,020 "," 25,460,020 ",6.4
Shooting Fish,1997," 3,000,000 "," 302,204 "," 3,302,204 ",7
Spice World,1997," 25,000,000 "," 100,000,000 "," 125,000,000 ",4.7
Deep Rising,1998," 45,000,000 "," 11,203,026 "," 56,203,026 ",6
The Replacement Killers,1998," 30,000,000 "," 19,204,929 "," 49,204,929 ",6
The Night Flier,1997," 1,000,000 "," 91,549 "," 1,091,549 ",5.7
Blues Brothers 2000,1998," 28,000,000 "," 14,051,384 "," 42,051,384 ",5.2
The Wedding Singer,1998," 18,000,000 "," 123,306,987 "," 141,306,987 ",6.5
Sphere,1998," 75,000,000 "," 13,100,000 "," 88,100,000 ",5.8
As Good as It Gets,1997," 50,000,000 "," 314,178,011 "," 364,178,011 ",7.2
King of New York,1990," 1,000,000 "," 2,554,476 "," 3,554,476 ",6.5
U.S. Marshals,1998," 60,000,000 "," 102,367,405 "," 162,367,405 ",6.2
The Newton Boys,1998," 27,000,000 "," 76,000,000 "," 103,000,000 ",5.9
Wild Things,1998," 20,000,000 "," 67,200,000 "," 87,200,000 ",6.3
Two Girls and a Guy,1997," 1,000,000 "," 2,057,193 "," 3,057,193 ",5.4
The Object of My Affection,1998," 15,000,000 "," 46,905,889 "," 61,905,889 ",5.6
Meet the Deedles,1998," 24,000,000 "," 4,562,146 "," 28,562,146 ",4.1
Lost in Space,1998," 80,000,000 "," 136,159,423 "," 216,159,423 ",5
The Spanish Prisoner,1997," 10,000,000 "," 13,835,130 "," 23,835,130 ",7.1
City of Angels,1998," 55,000,000 "," 198,685,114 "," 253,685,114 ",6.5
He Got Game,1998," 25,000,000 "," 21,567,853 "," 46,567,853 ",6.7
Zero Effect,1998," 5,000,000 "," 1,980,338 "," 6,980,338 ",6
"An Alan Smithee Film: Burn, Hollywood, Burn",1998," 10,000,000 "," 45,779 "," 10,045,779 ",3
Mr. Nice Guy,1997," 12,716,953 "," 18,814,720 "," 31,531,673 ",6.2
Species II,1998," 35,000,000 "," 19,165,560 "," 54,165,560 ",4.5
The Big Hit,1998," 13,000,000 "," 27,007,143 "," 40,007,143 ",6.1
Deep Impact,1998," 75,000,000 "," 140,464,664 "," 215,464,664 ",5.9
Woo,1998," 13,000,000 "," 8,026,971 "," 21,026,971 ",5.5
Quest for Camelot,1998," 40,000,000 "," 38,172,500 "," 78,172,500 ",6.9
Godzilla,1998," 130,000,000 "," 379,014,294 "," 509,014,294 ",5.3
Bulworth,1998," 30,000,000 "," 29,202,884 "," 59,202,884 ",6.3
Fear and Loathing in Las Vegas,1998," 18,500,000 "," 10,680,275 "," 29,180,275 ",7.2
The Opposite of Sex,1998," 5,000,000 "," 5,879,254 "," 10,879,254 ",5.9
A Perfect Murder,1998," 60,000,000 "," 128,038,368 "," 188,038,368 ",6.3
Six Days Seven Nights,1998," 70,000,000 "," 164,000,000 "," 234,000,000 ",5.6
Can't Hardly Wait,1998," 10,000,000 "," 25,605,015 "," 35,605,015 ",6.1
Children of Heaven,1997," 180,000 "," 900,000 "," 1,080,000 ",7.8
Mulan,1998," 90,000,000 "," 304,320,254 "," 394,320,254 ",7.6
The X Files,1998," 66,000,000 "," 189,198,313 "," 255,198,313 ",6.6
Doctor Dolittle,1998," 71,000,000 "," 294,456,605 "," 365,456,605 ",5.4
Out of Sight,1998," 48,000,000 "," 77,745,568 "," 125,745,568 ",6.5
Buffalo '66,1998," 1,500,000 "," 2,375,097 "," 3,875,097 ",7.2
Armageddon,1998," 140,000,000 "," 553,799,566 "," 693,799,566 ",6.5
Lethal Weapon 4,1998," 140,000,000 "," 285,444,603 "," 425,444,603 ",6.3
Small Soldiers,1998," 40,000,000 "," 54,682,547 "," 94,682,547 ",6.2
Pi,1998," 60,000 "," 3,221,152 "," 3,281,152 ",7.1
There's Something About Mary,1998," 23,000,000 "," 369,884,651 "," 392,884,651 ",6.5
Freddy's Dead: The Final Nightmare,1991," 11,000,000 "," 34,872,033 "," 45,872,033 ",5.1
Child's Play 2,1990," 13,000,000 "," 35,763,605 "," 48,763,605 ",5.8
Child's Play 3,1991," 13,000,000 "," 20,560,255 "," 33,560,255 ",5.5
Lethal Weapon 3,1992," 35,000,000 "," 321,731,527 "," 356,731,527 ",6.4
Gremlins 2: The New Batch,1990," 50,000,000 "," 41,482,207 "," 91,482,207 ",6.3
The Mask of Zorro,1998," 95,000,000 "," 250,288,523 "," 345,288,523 ",6.3
Back to the Future Part III,1990," 40,000,000 "," 244,527,583 "," 284,527,583 ",7.1
The Godfather: Part III,1990," 54,000,000 "," 136,766,062 "," 190,766,062 ",7.1
The Rapture,1991," 1,227,401 "," 1,277,401 "," 2,504,802 ",6.4
Lolita,1997," 62,000,000 "," 1,060,056 "," 63,060,056 ",7
Disturbing Behavior,1998," 15,000,000 "," 17,507,368 "," 32,507,368 ",5.5
Jane Austen's Mafia!,1998," 10,000,000 "," 19,000,000 "," 29,000,000 ",5.4
Saving Private Ryan,1998," 70,000,000 "," 481,840,909 "," 551,840,909 ",7.9
Hocus Pocus,1993," 28,000,000 "," 39,514,713 "," 67,514,713 ",6.5
Honey I Blew Up the Kid,1992," 40,000,000 "," 58,662,452 "," 98,662,452 ",4.8
The Negotiator,1998," 50,000,000 "," 44,547,681 "," 94,547,681 ",6.8
The Mighty Ducks,1992," 10,000,000 "," 50,752,337 "," 60,752,337 ",6.4
The Rescuers Down Under,1990," 37,931,000 "," 47,431,461 "," 85,362,461 ",6.6
The Rocketeer,1991," 42,000,000 "," 62,000,000 "," 104,000,000 ",6.3
Halloween: H20,1998," 17,000,000 "," 55,041,738 "," 72,041,738 ",5.7
Graveyard Shift,1990," 10,500,000 "," 11,582,891 "," 22,082,891 ",4.5
The Addams Family,1991," 30,000,000 "," 191,502,426 "," 221,502,426 ",6.7
Ever After: A Cinderella Story,1998," 26,000,000 "," 65,705,772 "," 91,705,772 ",6.8
Snake Eyes,1998," 73,000,000 "," 103,891,409 "," 176,891,409 ",5.8
"First Love, Last Rites",1998," 300,000 "," 40,542 "," 340,542 ",3
The Avengers,1998," 60,000,000 "," 48,585,416 "," 108,585,416 ",4.4
How Stella Got Her Groove Back,1998," 20,000,000 "," 37,672,350 "," 57,672,350 ",6
The Neverending Story II: The Next Chapter,1990," 32,000,000 "," 16,283,667 "," 48,283,667 ",5.5
Your Friends & Neighbors,1998," 5,000,000 "," 4,710,749 "," 9,710,749 ",5.9
Blade,1998," 45,000,000 "," 131,183,530 "," 176,183,530 ",6.5
54,1998," 13,000,000 "," 16,757,163 "," 29,757,163 ",5.5
I Married a Strange Person!,1998, 250 , 203 , 453 ,7.5
Rounders,1998," 12,000,000 "," 22,921,898 "," 34,921,898 ",6.9
Cube,1997," 250,000 "," 501,818 "," 751,818 ",6.9
Simon Birch,1998," 20,000,000 "," 18,253,415 "," 38,253,415 ",6.5
Without Limits,1998," 25,000,000 "," 777,423 "," 25,777,423 ",6.4
Nothing but Trouble,1991," 40,000,000 "," 8,479,793 "," 48,479,793 ",5
A Few Good Men,1992," 40,000,000 "," 243,240,178 "," 283,240,178 ",7.1
Indecent Proposal,1993," 38,000,000 "," 266,614,059 "," 304,614,059 ",5.8
Rush Hour,1998," 33,000,000 "," 244,386,864 "," 277,386,864 ",6.8
Six-String Samurai,1998," 2,000,000 "," 124,494 "," 2,124,494 ",5.8
Ronin,1998," 55,000,000 "," 41,610,884 "," 96,610,884 ",6.8
Urban Legend,1998," 14,000,000 "," 72,527,595 "," 86,527,595 ",5.6
The Sheltering Sky,1990," 25,000,000 "," 2,075,084 "," 27,075,084 ",6.4
The Player,1992," 8,000,000 "," 21,706,101 "," 29,706,101 ",6.9
Edward Scissorhands,1990," 20,000,000 "," 53,000,000 "," 73,000,000 ",7.5
Antz,1998," 60,000,000 "," 171,757,863 "," 231,757,863 ",6
A Night at the Roxbury,1998," 17,000,000 "," 30,331,165 "," 47,331,165 ",5.9
What Dreams May Come,1998," 85,000,000 "," 71,485,043 "," 156,485,043 ",6.8
Strangeland,1998," 1,100,000 "," 631,221 "," 1,731,221 ",4.7
My Cousin Vinny,1992," 11,000,000 "," 64,088,552 "," 75,088,552 ",7.3
Bride of Chucky,1998," 25,000,000 "," 50,671,850 "," 75,671,850 ",5.5
Practical Magic,1998," 75,000,000 "," 46,683,377 "," 121,683,377 ",6.3
Happiness,1998," 3,000,000 "," 2,807,390 "," 5,807,390 ",7.4
Soldier,1998," 75,000,000 "," 14,567,883 "," 89,567,883 ",6.1
Life Is Beautiful,1997," 20,000,000 "," 229,400,000 "," 249,400,000 ",8.3
Tales from the Darkside: The Movie,1990," 3,500,000 "," 16,324,573 "," 19,824,573 ",5.8
American History X,1998," 20,000,000 "," 23,875,127 "," 43,875,127 ",8.2
Living Out Loud,1998," 12,000,000 "," 12,902,790 "," 24,902,790 ",5.4
Gods and Monsters,1998," 10,000,000 "," 6,451,628 "," 16,451,628 ",6.8
The Siege,1998," 70,000,000 "," 116,672,912 "," 186,672,912 ",6.1
The Waterboy,1998," 23,000,000 "," 185,991,646 "," 208,991,646 ",5.9
Elizabeth,1998," 30,000,000 "," 82,150,642 "," 112,150,642 ",7.2
I Still Know What You Did Last Summer,1998," 65,000,000 "," 40,002,112 "," 105,002,112 ",5.1
Meet Joe Black,1998," 90,000,000 "," 142,940,100 "," 232,940,100 ",6.9
Enemy of the State,1998," 90,000,000 "," 250,649,836 "," 340,649,836 ",6.7
The Rugrats Movie,1998," 30,000,000 "," 100,491,683 "," 130,491,683 ",5.8
A Bug's Life,1998," 120,000,000 "," 363,258,859 "," 483,258,859 ",6.8
Central Station,1998," 2,900,000 "," 5,596,708 "," 8,496,708 ",7.6
Babe: Pig in the City,1998," 90,000,000 "," 69,131,860 "," 159,131,860 ",5.3
Home Fries,1998," 15,000,000 "," 10,443,316 "," 25,443,316 ",4.8
Ringmaster,1998," 3,500,000 "," 9,247,881 "," 12,747,881 ",3.8
Very Bad Things,1998," 30,000,000 "," 9,898,412 "," 39,898,412 ",6.2
Psycho,1998," 60,000,000 "," 37,141,130 "," 97,141,130 ",4.8
Star Trek: Insurrection,1998," 70,000,000 "," 118,000,000 "," 188,000,000 ",6.3
The Prince of Egypt,1998," 70,000,000 "," 218,613,188 "," 288,613,188 ",6.9
Rushmore,1998," 9,000,000 "," 17,096,053 "," 26,096,053 ",7.5
Shakespeare in Love,1998," 25,000,000 "," 289,317,794 "," 314,317,794 ",6.8
Rocky V,1990," 42,000,000 "," 119,946,358 "," 161,946,358 ",5.3
You've Got Mail,1998," 65,000,000 "," 250,821,495 "," 315,821,495 ",6.3
The Thin Red Line,1998," 52,000,000 "," 98,126,565 "," 150,126,565 ",7.2
The Faculty,1998," 15,000,000 "," 40,283,321 "," 55,283,321 ",6.2
Patch Adams,1998," 50,000,000 "," 202,292,902 "," 252,292,902 ",7
A Civil Action,1998," 70,000,000 "," 56,702,901 "," 126,702,901 ",6.1
Tea with Mussolini,1999," 12,000,000 "," 21,001,563 "," 33,001,563 ",5.8
Affliction,1997," 6,000,000 "," 6,330,054 "," 12,330,054 ",5.8
Playing by Heart,1998," 20,000,000 "," 3,970,078 "," 23,970,078 ",6.6
Virus,1999," 75,000,000 "," 14,010,690 "," 89,010,690 ",5
Texas Chainsaw Massacre: The Next Generation,1994," 600,000 "," 185,898 "," 785,898 ",3.9
She's All That,1999," 10,000,000 "," 103,166,989 "," 113,166,989 ",5.7
"Blood, Guts, Bullets and Octane",1998," 7,300 "," 13,674 "," 20,974 ",6
Payback,1999," 90,000,000 "," 161,626,121 "," 251,626,121 ",6.7
Simply Irresistible,1999," 6,000,000 "," 4,398,989 "," 10,398,989 ",5.5
Blast from the Past,1999," 35,000,000 "," 40,263,020 "," 75,263,020 ",6.3
Message in a Bottle,1999," 80,000,000 "," 118,880,016 "," 198,880,016 ",5.9
My Favorite Martian,1999," 65,000,000 "," 36,850,101 "," 101,850,101 ",5.1
Jawbreaker,1999," 3,000,000 "," 3,076,820 "," 6,076,820 ",5.9
Office Space,1999," 10,000,000 "," 12,827,813 "," 22,827,813 ",7.4
200 Cigarettes,1999," 6,000,000 "," 6,852,450 "," 12,852,450 ",6.1
8MM,1999," 40,000,000 "," 96,618,699 "," 136,618,699 ",6.1
Pet Sematary II,1992," 8,000,000 "," 17,092,453 "," 25,092,453 ",5
Children of the Corn II: The Final Sacrifice,1993," 900,000 "," 6,980,986 "," 7,880,986 ",4.5
Analyze This,1999," 80,000,000 "," 176,885,658 "," 256,885,658 ",6.4
The Corruptor,1999," 25,000,000 "," 15,156,200 "," 40,156,200 ",6.1
Cruel Intentions,1999," 10,500,000 "," 75,902,208 "," 86,402,208 ",6.6
"Lock, Stock and Two Smoking Barrels",1998," 1,350,000 "," 3,897,569 "," 5,247,569 ",7.5
The Deep End of the Ocean,1999," 38,000,000 "," 28,121,100 "," 66,121,100 ",6
The Rage: Carrie 2,1999," 21,000,000 "," 17,762,705 "," 38,762,705 ",5.1
Baby Geniuses,1999," 12,000,000 "," 36,450,736 "," 48,450,736 ",3.3
Forces of Nature,1999," 75,000,000 "," 93,888,180 "," 168,888,180 ",5.1
The King and I,1999," 25,000,000 "," 12,000,000 "," 37,000,000 ",5
The Mod Squad,1999," 50,000,000 "," 13,260,050 "," 63,260,050 ",4.1
The Matrix,1999," 63,000,000 "," 463,517,383 "," 526,517,383 ",7.9
10 Things I Hate About You,1999," 16,000,000 "," 53,478,166 "," 69,478,166 ",7.3
The Out-of-Towners,1999," 75,000,000 "," 29,000,000 "," 104,000,000 ",5.1
Following,1998," 6,000 "," 48,482 "," 54,482 ",7.2
Go,1999," 6,500,000 "," 28,451,622 "," 34,951,622 ",7
Never Been Kissed,1999," 25,000,000 "," 84,565,230 "," 109,565,230 ",5.8
Twin Dragons,1992," 10,000,000 "," 8,359,717 "," 18,359,717 ",6.2
Cookie's Fortune,1999," 10,000,000 "," 10,920,544 "," 20,920,544 ",6.2
Life,1999," 80,000,000 "," 73,345,029 "," 153,345,029 ",6.4
Open Your Eyes,1997," 2,900,000 "," 368,234 "," 3,268,234 ",7.4
Lost & Found,1999, 1 , 100 , 101 ,4.9
eXistenZ,1999," 15,000,000 "," 2,856,712 "," 17,856,712 ",6.7
Entrapment,1999," 66,000,000 "," 212,404,396 "," 278,404,396 ",6
Idle Hands,1999," 25,000,000 "," 4,152,230 "," 29,152,230 ",6.1
Dick Tracy,1990," 47,000,000 "," 103,738,726 "," 150,738,726 ",5.9
The Mummy,1999," 80,000,000 "," 415,885,488 "," 495,885,488 ",6.6
The Castle,1997," 786,675 "," 861,789 "," 1,648,464 ",7.4
Edge of Seventeen,1998," 1,500,000 "," 870,751 "," 2,370,751 ",5.7
Star Wars: Episode I - The Phantom Menace,1999," 115,000,000 "," 924,317,558 "," 1,039,317,558 ",6.4
Notting Hill,1999," 42,000,000 "," 363,889,678 "," 405,889,678 ",7
The Thirteenth Floor,1999," 16,000,000 "," 18,564,088 "," 34,564,088 ",6.8
Limbo,1999," 8,000,000 "," 1,997,807 "," 9,997,807 ",7
Austin Powers: The Spy Who Shagged Me,1999," 33,000,000 "," 310,940,086 "," 343,940,086 ",6.1
The Red Violin,1998," 18,000,000 "," 9,495,408 "," 27,495,408 ",7.2
Tarzan,1999," 150,000,000 "," 448,000,000 "," 598,000,000 ",7.1
The General's Daughter,1999," 60,000,000 "," 149,705,852 "," 209,705,852 ",6.1
An Ideal Husband,1999," 14,000,000 "," 18,535,191 "," 32,535,191 ",6.3
Run Lola Run,1998," 1,530,000 "," 7,267,585 "," 8,797,585 ",7.2
Big Daddy,1999," 34,200,000 "," 234,801,895 "," 269,001,895 ",6.2
The Dinner Game,1998," 12,500,000 "," 78,599,508 "," 91,099,508 ",7.7
Arachnophobia,1990," 31,000,000 "," 53,208,180 "," 84,208,180 ",6.2
Wild Wild West,1999," 170,000,000 "," 222,104,681 "," 392,104,681 ",5.1
American Pie,1999," 11,000,000 "," 235,483,004 "," 246,483,004 ",6.4
Muppets from Space,1999," 24,000,000 "," 16,290,976 "," 40,290,976 ",5.8
The Blair Witch Project,1999," 60,000 "," 248,000,000 "," 248,060,000 ",6.3
Eyes Wide Shut,1999," 65,000,000 "," 162,091,208 "," 227,091,208 ",7.1
Lake Placid,1999," 27,000,000 "," 56,870,414 "," 83,870,414 ",5.5
The Wood,1999," 6,000,000 "," 25,059,640 "," 31,059,640 ",7.1
Drop Dead Gorgeous,1999," 10,000,000 "," 10,571,408 "," 20,571,408 ",6.5
The Haunting,1999," 80,000,000 "," 91,188,905 "," 171,188,905 ",5.2
Trick,1999," 450,000 "," 2,049,595 "," 2,499,595 ",6.7
Deep Blue Sea,1999," 60,000,000 "," 73,648,228 "," 133,648,228 ",5.6
Mystery Men,1999," 68,000,000 "," 29,762,011 "," 97,762,011 ",5.7
Runaway Bride,1999," 70,000,000 "," 309,457,509 "," 379,457,509 ",5.8
Dick,1999," 13,000,000 "," 27,500,000 "," 40,500,000 ",5.7
The Iron Giant,1999," 70,000,000 "," 23,159,305 "," 93,159,305 ",7.6
The Sixth Sense,1999," 40,000,000 "," 672,806,292 "," 712,806,292 ",7.7
The Thomas Crown Affair,1999," 48,000,000 "," 124,305,181 "," 172,305,181 ",6.7
Brokedown Palace,1999," 25,000,000 "," 13,000,000 "," 38,000,000 ",6.2
Detroit Rock City,1999," 6,500,000 "," 4,217,115 "," 10,717,115 ",6.7
Never Talk to Strangers,1995," 6,400,000 ", 6 ," 6,400,006 ",4.7
An American Werewolf in Paris,1997," 22,000,000 "," 26,570,463 "," 48,570,463 ",5.3
The Pelican Brief,1993," 45,000,000 "," 195,268,056 "," 240,268,056 ",6.3
Teaching Mrs. Tingle,1999," 13,000,000 "," 8,946,237 "," 21,946,237 ",5.3
Universal Soldier: The Return,1999," 45,000,000 "," 10,667,893 "," 55,667,893 ",4.2
In Too Deep,1999," 7,000,000 "," 14,011,454 "," 21,011,454 ",6.3
The 13th Warrior,1999," 160,000,000 "," 61,698,899 "," 221,698,899 ",6.4
The Astronaut's Wife,1999," 75,000,000 "," 19,598,588 "," 94,598,588 ",5.5
Chill Factor,1999," 70,000,000 "," 11,263,966 "," 81,263,966 ",5.3
Outside Providence,1999," 7,000,000 "," 7,292,175 "," 14,292,175 ",5.6
Stigmata,1999," 29,000,000 "," 50,041,732 "," 79,041,732 ",6
Stir of Echoes,1999," 12,000,000 "," 21,133,087 "," 33,133,087 ",6.5
American Beauty,1999," 15,000,000 "," 356,296,601 "," 371,296,601 ",7.9
Blue Streak,1999," 65,000,000 "," 117,758,500 "," 182,758,500 ",6.1
Thumbelina,1994," 28,000,000 "," 11,373,501 "," 39,373,501 ",6.1
Double Jeopardy,1999," 70,000,000 "," 177,841,558 "," 247,841,558 ",6.2
Guinevere,1999," 2,600,000 "," 614,202 "," 3,214,202 ",5.9
Drive Me Crazy,1999," 8,000,000 "," 22,593,409 "," 30,593,409 ",5.8
"Mystery, Alaska",1999," 28,000,000 "," 8,888,143 "," 36,888,143 ",6
Three Kings,1999," 75,000,000 "," 108,000,000 "," 183,000,000 ",6.6
"Happy, Texas",1999," 1,700,000 "," 1,943,649 "," 3,643,649 ",5.5
The Dark Half,1993," 15,000,000 "," 10,611,160 "," 25,611,160 ",5.4
Random Hearts,1999," 64,000,000 "," 74,608,570 "," 138,608,570 ",5.3
Boys Don't Cry,1999," 2,000,000 "," 11,540,607 "," 13,540,607 ",7.2
The Limey,1999," 10,000,000 "," 3,193,102 "," 13,193,102 ",6.6
